Contribution Date,Birthdate,Residency Status,SPR Start Date,Employee Contribution Type,Employer Contribution Type,Ordinary Wages,Additional Wages,Employee CPF$,Employer CPF$,Total CPF$
2014-09-01,1994-04-04,citizen,,,,588,0,52,95,147
2014-09-01,1992-11-25,citizen,,,,727.5,0,136,117,253
2014-09-01,1992-09-23,citizen,,,,1002,0,200,161,361
2014-09-01,1990-02-18,citizen,,,,395.5,0,0,63,63
2014-09-01,1995-02-25,permanent_resident,2010-01-01,,,286,0,0,46,46
2014-09-01,1993-09-24,citizen,,,,957.25,0,191,154,345
2014-09-01,1989-01-20,citizen,,,,1720,0,344,275,619
2014-09-01,1994-01-03,citizen,,,,1230,0,246,197,443
2014-09-01,1995-08-13,citizen,,,,1440,0,288,230,518
2014-09-01,1993-04-04,citizen,,,,900,0,180,144,324
2014-09-01,1990-10-05,citizen,,,,626.25,0,75,101,176
2014-09-01,1989-07-28,citizen,,,,1278.75,0,255,205,460
2014-09-01,1997-11-19,citizen,,,,1192.5,0,238,191,429
2014-09-01,1989-10-22,citizen,,,,645,0,87,103,190
2014-09-01,1997-11-21,citizen,,,,262.5,0,0,42,42
2014-09-01,1997-12-11,citizen,,,,150,0,0,24,24
2014-09-01,1991-06-23,citizen,,,,1416.63,0,283,227,510
2014-09-01,1994-03-10,citizen,,,,1273.13,0,254,204,458
2014-09-01,1989-09-09,citizen,,,,350,0,0,56,56
2014-09-01,1991-01-10,citizen,,,,847,0,169,136,305
2014-09-01,1994-03-09,citizen,,,,220.5,0,0,35,35
2014-09-01,1995-02-06,citizen,,,,780,0,156,125,281
2014-09-01,1988-07-02,citizen,,,,256.37,0,0,41,41
2014-09-01,1996-08-21,citizen,,,,714,0,128,115,243
2014-09-01,1989-10-06,citizen,,,,49,0,0,0,0
2014-09-01,1997-10-17,citizen,,,,185.5,0,0,30,30
2014-09-01,1990-06-13,citizen,,,,385,0,0,62,62
2014-09-01,1992-01-02,citizen,,,,213.5,0,0,34,34
2014-09-01,1994-08-11,citizen,,,,213.5,0,0,34,34
2014-09-01,1997-11-18,citizen,,,,210,0,0,34,34
2014-09-01,1994-11-20,citizen,,,,624,0,74,100,174
2014-09-01,1992-10-26,citizen,,,,2572.5,0,514,412,926
2014-09-01,1991-12-24,citizen,,,,1417.5,0.09,283,227,510
2014-09-01,1992-12-31,citizen,,,,1500.25,0,300,240,540
2014-09-01,1989-01-18,citizen,,,,1323.75,0,264,213,477
2014-09-01,1978-11-11,citizen,,,,1293.75,0,258,208,466
2014-09-01,1994-07-09,citizen,,,,1350,0,270,216,486
2014-09-01,1988-06-08,citizen,,,,1372.5,0,274,220,494
2014-09-01,1991-11-18,citizen,,,,1042.5,0,208,167,375
2014-09-01,1994-07-19,permanent_resident,2010-01-01,,,1380,0,276,221,497
2014-09-01,1993-08-21,citizen,,,,660,0,96,106,202
2014-09-01,1990-01-24,citizen,,,,1368.75,0,273,220,493
2014-09-01,1995-04-14,citizen,,,,573.75,0,44,92,136
2014-09-01,1989-09-20,citizen,,,,1036.88,0,207,166,373
2014-09-01,1991-07-20,citizen,,,,948.75,0,189,153,342
2014-09-01,1996-12-06,citizen,,,,633.75,0,80,102,182
2014-09-01,1994-08-10,citizen,,,,1211.25,0,242,194,436
2014-09-01,1994-10-17,citizen,,,,566.25,0,39,91,130
2014-09-01,1994-07-12,citizen,,,,191.25,0,0,31,31
2014-09-01,1995-01-15,citizen,,,,152.25,0,0,24,24
2014-09-01,1996-06-15,citizen,,,,207,0,0,33,33
2014-09-01,1979-08-03,permanent_resident,2010-01-01,,,1278.38,0,255,205,460
2014-09-01,1996-04-12,citizen,,,,624,0,74,100,174
2014-09-01,1995-05-25,citizen,,,,344,0,0,55,55
2014-09-01,1995-10-04,citizen,,,,394,0,0,63,63
2014-09-01,1995-12-21,citizen,,,,597,0,58,96,154
2014-09-01,1995-03-22,citizen,,,,311.5,0,0,50,50
2014-09-01,1996-08-20,citizen,,,,518.25,0,10,84,94
2014-09-01,1990-02-12,citizen,,,,127.5,0,0,20,20
2014-09-01,1990-08-08,citizen,,,,1286.25,0,257,206,463
2014-09-01,1987-12-21,citizen,,,,265.5,0,0,42,42
2014-09-01,1990-07-10,citizen,,,,265.5,0,0,42,42
2014-09-01,1990-07-11,citizen,,,,211.5,0,0,34,34
2014-09-01,1996-03-25,citizen,,,,218.25,0,0,35,35
2014-09-01,1993-03-22,citizen,,,,220.5,0,0,35,35
2014-09-01,1989-08-01,citizen,,,,211.5,0,0,34,34
2014-09-01,1996-05-24,citizen,,,,211.5,0,0,34,34
2014-09-01,1996-01-22,citizen,,,,211.5,0,0,34,34
2014-09-01,1996-01-26,citizen,,,,211.5,0,0,34,34
2014-09-01,1988-07-09,citizen,,,,272.25,0,0,44,44
2014-09-01,1992-11-01,citizen,,,,220.5,0,0,35,35
2014-09-01,1995-07-31,citizen,,,,211.5,0,0,34,34
2014-09-01,1995-12-27,citizen,,,,211.5,0,0,34,34
2014-09-01,1995-07-06,citizen,,,,211.5,0,0,34,34
2014-09-01,1994-09-26,citizen,,,,211.5,0,0,34,34
2014-09-01,1997-10-04,citizen,,,,682.5,0,109,110,219
2014-09-01,1989-01-12,citizen,,,,1312.5,0,262,211,473
2014-09-01,1993-04-01,citizen,,,,973.13,0,194,156,350
2014-09-01,1996-02-09,citizen,,,,437.5,0,0,70,70
2014-09-01,1995-10-09,citizen,,,,532,0,19,85,104
2014-09-01,1991-07-27,citizen,,,,2920.5,0,584,467,1051
2014-09-01,1994-11-02,citizen,,,,3002,0,600,481,1081
2014-09-01,1992-03-12,citizen,,,,1040,0,208,166,374
2014-09-01,1993-07-18,citizen,,,,98,0,0,16,16
2014-09-01,1994-07-04,citizen,,,,1036,0,207,166,373
2014-09-01,1989-12-01,citizen,,,,946.5,0,189,152,341
2014-09-01,1990-03-31,citizen,,,,147,0,0,24,24
2014-09-01,1994-12-23,citizen,,,,808,0,161,130,291
2014-09-01,1994-12-13,citizen,,,,1252.5,0,250,201,451
2014-09-01,1994-01-04,citizen,,,,756.5,0,151,121,272
2014-09-01,1995-10-01,citizen,,,,877.5,0,175,141,316
2014-09-01,1993-08-27,citizen,,,,768,0,153,123,276
2014-09-01,1993-09-24,citizen,,,,303.5,0,0,49,49
2014-09-01,1994-10-10,citizen,,,,147,0,0,24,24
2014-09-01,1993-06-28,citizen,,,,681,0,108,110,218
2014-09-01,1994-09-03,citizen,,,,147,0,0,24,24
2014-09-01,1993-12-08,citizen,,,,1109,0,221,178,399
2014-09-01,1990-10-19,citizen,,,,4459.5,0,891,714,1605
2014-09-01,1994-10-14,citizen,,,,692,0,115,111,226
2014-09-01,1991-11-05,citizen,,,,2055.5,0,411,329,740
2014-09-01,1989-02-23,citizen,,,,728,0,136,117,253
2014-09-01,1993-12-09,citizen,,,,2448.5,0,489,392,881
2014-09-01,1991-04-10,citizen,,,,680,0,108,109,217
